eps,accuracy,balanced_accuracy,f1,recall,precision,auc,fpr_anon,fpr_new,fpr_exp,fnr_anon,fnr_new,fnr_exp
0.01,0.9708,0.6042,0.3267,0.2113,0.7193,0.6042,0.0035,0.0028,0.0027,0.9924,1.0,1.0
0.51,0.9696,0.5912,0.2903,0.1856,0.6667,0.5912,0.0023,0.0028,0.003,0.9924,1.0,1.0
1.01,0.9702,0.6064,0.3268,0.2165,0.6667,0.6064,0.0035,0.0055,0.0032,0.9924,1.0,1.0
1.51,0.97,0.5889,0.2869,0.1804,0.7,0.5889,0.0012,0.0028,0.0027,0.9924,1.0,1.0
2.01,0.9705,0.5966,0.3077,0.1959,0.717,0.5966,0.0012,0.0055,0.003,0.9924,1.0,1.0
2.51,0.9702,0.5914,0.2939,0.1856,0.7059,0.5914,0.0012,0.0055,0.0032,0.9924,1.0,1.0
3.01,0.9702,0.5914,0.2939,0.1856,0.7059,0.5914,0.0012,0.0028,0.003,0.9924,1.0,1.0
3.51,0.97,0.5889,0.2869,0.1804,0.7,0.5889,0.0023,0.0,0.0032,0.9924,1.0,1.0
4.01,0.9703,0.5915,0.2951,0.1856,0.72,0.5915,0.0012,0.0,0.0032,0.9924,1.0,1.0
4.51,0.9707,0.5992,0.3145,0.201,0.7222,0.5992,0.0012,0.0028,0.0032,0.9924,1.0,1.0
5.01,0.9707,0.5917,0.2975,0.1856,0.75,0.5917,0.0012,0.0,0.003,0.9924,1.0,1.0
5.51,0.97,0.5914,0.2927,0.1856,0.6923,0.5914,0.0012,0.0028,0.0032,0.9924,1.0,1.0
6.01,0.9702,0.589,0.2881,0.1804,0.7143,0.589,0.0023,0.0,0.0032,0.9924,1.0,1.0
6.51,0.9703,0.5915,0.2951,0.1856,0.72,0.5915,0.0023,0.0,0.0032,0.9924,1.0,1.0
7.01,0.9705,0.5941,0.302,0.1907,0.7255,0.5941,0.0023,0.0,0.0032,0.9924,1.0,1.0
7.51,0.9698,0.5913,0.2915,0.1856,0.6792,0.5913,0.0023,0.0,0.003,0.9924,1.0,1.0
8.01,0.971,0.6018,0.3226,0.2062,0.7407,0.6018,0.0023,0.0,0.003,0.9924,1.0,1.0
8.51,0.9708,0.5993,0.3158,0.201,0.7358,0.5993,0.0023,0.0028,0.0032,0.9924,1.0,1.0
9.01,0.97,0.5914,0.2927,0.1856,0.6923,0.5914,0.0023,0.0055,0.0032,0.9924,1.0,1.0
9.51,0.9707,0.5967,0.3089,0.1959,0.7308,0.5967,0.0023,0.0,0.0032,0.9924,1.0,1.0
